date,daily_sales_team,customer_name,unit_hp,sales_name,indoor_serial,outdoor_serial,remarks
2026-02-24,CJ,ARVIE BANGAYAN,2.0HP/AIRIT QDDI,MYLYN CARREON,88550E508060N00357,A8771E508060W00425,
2026-02-24,CJ,ANNE ARAGAO,1.5HP/AUX QCDI,MYLYN CARREON,88894E531303N00121,A9189E531303W00975,CASH
2026-02-24,CATO,JEFFERSON GOMEZ,1.0HP/SAMSUNG ARTHYE,MYLYN CARREON,120A01BFGHN20261700546,121202BHGKW112616000501,CASH
2026-02-24,DELAPENA,LISA ESGUERRA,1.5HP/TCL KEI2,MYLYN CARREON,121210BHFGEN282617000545,121202BHGKW112616000242,FOR WARRANTY
2026-02-24,KIER,NOEMI MACAPAGAL,1.0HP/LG ISB,MYLYN CARREON,601HVANQ5487,601HVAQVUQ796,CASH
2026-02-24,JEMAIRE SUB DEALER,JEMAIRE,2.0HP/MIDEA,MYLYN CARREON,54122000HELAB180170204,54122000HENAB110120460,
2026-02-24,ALVIN DE GUZMAN SUB DEALER,ALVIN DE GUZMAN,1.5HP/DVA DAIKIN,MYLYN CARREON,FTKF25DVA,20675211-068652,CASH
2026-02-24,ERIC CABIAO SUB DEALER,ERIC CABIAO,1.5HP MIDEA CELEST,MYLYN CARREON,54122000HEGAB070132045,54122000HEHAB080174398,CASH
2026-02-24,SUNGA,RAGUEL LONTOK,1.5HP/AUX QCDI,MYLYN CARREON,88994E531303N00083,A9189E531303W00990,
2026-02-24,ERVIN,MARK STABLES,1.5HP TCL MEI,MYLYN CARREON,1212015A2YN92531000541,1212025A2ZW1A253400234,
2026-02-24,TECHWARE SUB,TECHWARE SUB DEALER,1.0HP/MATRIX C SERIES,MYLYN CARREON,JAA0GJRC107621009594,JAA0WJRC107619004974,CASH
2026-02-24,MARCUS SUB DEALER,MARCUS,2.5HP/QUEEN W/WIFI,MYLYN CARREON,FTKC60FVAF,20681112-01489,CASH
2026-02-24,PIERCI COLD AIR,PIERCI BALMORES,3TR/DAIKIN,MYLYN CARREON,FVFC100BXVA,20683514-04198,BANK TRANSFER
2026-02-24,WINDOW RETAIL,RONALD CRUZ,1.0HP/TCL UB2,MYLYN CARREON,TCLUB2-IND-000123,,WINDOW UNIT ONLY
2026-02-24,WINDOW RETAIL,ANA DELA CRUZ,1.0HP/UJE2,MYLYN CARREON,UJE2-IND-000777,,WINDOW UNIT ONLY
